Word 1	Word 2	Human (mean)	W2V Similarity
precedent	information	3.85	0.08866602927446365
precedent	cognition	2.81	-0.02056960202753544
precedent	law	6.65	0.34597015380859375
precedent	collection	2.5	0.03283146396279335
precedent	group	1.77	0.07681482285261154
precedent	antecedent	6.04	0.2837713658809662
cup	coffee	6.58	0.3560178279876709
cup	tableware	6.85	0.1948634535074234
cup	article	2.4	0.08339212834835052
cup	artifact	2.92	0.0336991585791111
cup	object	3.69	0.10605283081531525
cup	entity	2.15	0.0347922146320343
cup	drink	7.25	0.35322168469429016
cup	food	5.0	0.09379564970731735
cup	substance	1.92	0.12556417286396027
cup	liquid	5.9	0.25183939933776855
jaguar	cat	7.42	0.405486524105072
jaguar	car	7.27	0.13319405913352966
energy	secretary	1.81	0.09282553195953369
secretary	senate	5.06	0.23210789263248444
energy	laboratory	5.09	0.11277154088020325
computer	laboratory	6.78	0.2875465452671051
weapon	secret	6.06	0.2584390640258789
FBI	fingerprint	6.94	0.337899774312973
FBI	investigation	8.31	0.4171352982521057
investigation	effort	4.59	0.23487988114356995
Mars	water	2.94	0.13637155294418335
Mars	scientist	5.63	0.17972102761268616
news	report	8.16	0.3123636245727539
canyon	landscape	7.53	0.24369584023952484
image	surface	4.56	0.12843585014343262
discovery	space	6.34	0.04125640168786049
water	seepage	6.56	0.39313432574272156
sign	recess	2.38	0.0480511449277401
Wednesday	news	2.22	0.26014822721481323
mile	kilometer	8.66	0.7258477807044983
computer	news	4.47	0.1039980947971344
territory	surface	5.34	0.1395847350358963
atmosphere	landscape	3.69	0.2697125971317291
president	medal	3.0	0.06946566700935364
war	troops	8.13	0.47614771127700806
record	number	6.31	0.22208692133426666
skin	eye	6.22	0.3397478759288788
Japanese	American	6.5	0.41248849034309387
theater	history	3.91	0.12982811033725739
volunteer	motto	2.56	0.19127662479877472
prejudice	recognition	3.0	0.11657064408063889
decoration	valor	5.63	0.322715699672699
century	year	7.59	0.3348371386528015
century	nation	3.16	0.2919147312641144
delay	racism	1.19	0.023803042247891426
delay	news	3.31	0.12586815655231476
minister	party	6.63	0.1715518683195114
peace	plan	4.75	0.11900727450847626
minority	peace	3.69	0.06868559122085571
attempt	peace	4.25	0.06137871742248535
government	crisis	6.56	0.29561758041381836
deployment	departure	4.25	0.2766171097755432
deployment	withdrawal	5.88	0.40605053305625916
energy	crisis	5.94	0.13847880065441132
announcement	news	7.56	0.4673331081867218
announcement	effort	2.75	0.23130609095096588
stroke	hospital	7.03	0.23570407927036285
disability	death	5.47	0.275210976600647
victim	emergency	6.47	0.17580635845661163
treatment	recovery	7.91	0.2493065744638443
journal	association	4.97	0.16295820474624634
doctor	personnel	5.0	0.1610165387392044
doctor	liability	5.19	0.06116039678454399
liability	insurance	7.03	0.45244455337524414
school	center	3.44	0.14268210530281067
reason	hypertension	2.31	0.07555149495601654
reason	criterion	5.91	0.3923366069793701
hundred	percent	7.38	0.18021871149539948
Harvard	Yale	8.13	0.7817695736885071
hospital	infrastructure	4.63	0.14553327858448029
death	row	5.25	0.1561247855424881
death	inmate	5.03	0.2757277190685272
lawyer	evidence	6.69	0.198607936501503
life	death	7.88	0.3618776500225067
life	term	4.5	0.2267606258392334
word	similarity	4.75	0.09658686071634293
board	recommendation	4.47	0.321181058883667
governor	interview	3.25	0.11880447715520859
OPEC	country	5.63	0.1194894015789032
peace	atmosphere	3.69	0.13366280496120453
peace	insurance	2.94	0.09818776696920395
territory	kilometer	5.28	0.1540842354297638
travel	activity	5.0	0.12772588431835175
competition	price	6.44	0.17668065428733826
consumer	confidence	4.13	0.19126538932323456
consumer	energy	4.75	0.2461671233177185
problem	airport	2.38	0.10208497941493988
car	flight	4.94	0.14423443377017975
credit	card	8.06	0.2681569457054138
credit	information	5.31	0.11662980914115906
hotel	reservation	8.03	0.3028254210948944
grocery	money	5.94	0.12704519927501678
registration	arrangement	6.0	0.11914842575788498
arrangement	accommodation	5.41	0.2305612564086914
month	hotel	1.81	0.12591950595378876
type	kind	8.97	0.6666411757469177
arrival	hotel	6.0	0.15935498476028442
bed	closet	6.72	0.4319477379322052
closet	clothes	8.0	0.4177303910255432
situation	conclusion	4.81	0.1847420334815979
situation	isolation	3.88	0.20984451472759247
impartiality	interest	5.16	0.20375370979309082
direction	combination	2.25	0.09585042297840118
street	place	6.44	0.17753030359745026
street	avenue	8.88	0.38327035307884216
street	block	6.88	0.26695922017097473
street	children	4.94	0.15370693802833557
listing	proximity	2.56	0.1236044391989708
listing	category	6.38	0.11038406193256378
cell	phone	7.81	0.28629881143569946
production	hike	1.75	0.018261171877384186
benchmark	index	4.25	0.4951688349246979
media	trading	3.88	0.12612035870552063
media	gain	2.88	0.10171880573034286
dividend	payment	7.63	0.2785915434360504
dividend	calculation	6.48	0.15065298974514008
calculation	computation	8.44	0.6076956391334534
currency	market	7.5	0.3382996618747711
OPEC	oil	8.59	0.5333777070045471
oil	stock	6.34	0.2203981876373291
announcement	production	3.38	0.08066592365503311
announcement	warning	6.0	0.24619010090827942
profit	warning	3.88	0.13709336519241333
profit	loss	7.63	0.3419945538043976
dollar	yen	7.78	0.574535608291626
dollar	buck	9.22	0.2562117278575897
dollar	profit	7.38	0.25337401032447815
dollar	loss	6.09	0.026566719636321068
computer	software	8.5	0.5444109439849854
network	hardware	8.31	0.29377812147140503
phone	equipment	7.13	0.1377403885126114
equipment	maker	5.91	0.20798200368881226
luxury	car	6.47	0.2445117086172104
five	month	3.38	0.40400832891464233
report	gain	3.63	0.09995908290147781
investor	earning	7.13	0.0034081507474184036
liquid	water	7.89	0.3653528094291687
baseball	season	5.97	0.2622438371181488
game	victory	7.03	0.3314371109008789
game	team	7.69	0.496656209230423
marathon	sprint	7.47	0.4636158049106598
game	series	6.19	0.29130786657333374
game	defeat	6.97	0.3329891562461853
seven	series	3.56	0.3310062289237976
seafood	sea	7.47	0.31509068608283997
seafood	food	8.34	0.5295587778091431
seafood	lobster	8.7	0.6544079780578613
lobster	food	7.81	0.30510467290878296
lobster	wine	5.7	0.3194861114025116
food	preparation	6.22	0.17799316346645355
video	archive	6.34	0.17350749671459198
start	year	4.06	0.190186008810997
start	match	4.47	0.24805228412151337
game	round	5.97	0.272222101688385
boxing	round	7.61	0.177592471241951
championship	tournament	8.36	0.6655316948890686
fighting	defeating	7.41	0.3445202708244324
line	insurance	2.69	0.08391069620847702
day	summer	3.94	0.4481316804885864
summer	drought	7.16	0.1637890487909317
summer	nature	5.63	0.12260760366916656
day	dawn	7.53	0.3310857117176056
nature	environment	8.31	0.4028488099575043
environment	ecology	8.81	0.42997628450393677
nature	man	6.25	0.11616960912942886
man	woman	8.3	0.7664012312889099
man	governor	5.25	0.15232418477535248
murder	manslaughter	8.53	0.6057650446891785
soap	opera	7.94	0.1955799013376236
opera	performance	6.88	0.17167465388774872
life	lesson	5.94	0.1925290822982788
focus	life	4.06	0.14205680787563324
production	crew	6.25	0.17930841445922852
television	film	7.72	0.34557005763053894
lover	quarrel	6.19	0.23226581513881683
viewer	serial	2.97	0.23336464166641235
possibility	girl	1.94	0.060037761926651
population	development	3.75	0.17502303421497345
morality	importance	3.31	0.2053404152393341
morality	marriage	3.69	0.30624136328697205
Mexico	Brazil	7.44	0.49549198150634766
gender	equality	6.41	0.5059923529624939
change	attitude	5.44	0.2514270544052124
family	planning	6.25	0.1914883255958557
opera	industry	2.63	0.04291349649429321
sugar	approach	0.88	0.007720563095062971
practice	institution	3.19	0.09677622467279434
ministry	culture	4.69	0.1877954602241516
problem	challenge	6.75	0.4629537761211395
size	prominence	5.31	0.1337670534849167
country	citizen	7.31	0.20985934138298035
planet	people	5.75	0.08704742044210434
development	issue	3.97	0.09010776877403259
experience	music	3.47	0.16575714945793152
music	project	3.63	0.02134612202644348
glass	metal	5.56	0.37073972821235657
aluminum	metal	7.83	0.6375763416290283
chance	credibility	3.88	0.23921890556812286
exhibit	memorabilia	5.31	0.3025929629802704
concert	virtuoso	6.81	0.28570184111595154
rock	jazz	7.59	0.45277103781700134
museum	theater	7.19	0.33256372809410095
observation	architecture	4.38	0.1362939476966858
space	world	6.53	0.12962709367275238
preservation	world	6.19	-0.021470624953508377
admission	ticket	7.69	0.4368831515312195
shower	thunderstorm	6.31	0.3426947295665741
shower	flood	6.03	0.12947934865951538
weather	forecast	8.34	0.3627207279205322
disaster	area	6.25	0.145228311419487
governor	office	6.34	0.29663556814193726
architecture	century	3.78	0.1430933028459549
